month,genre,region,share
2025-06,Latin,US,0.0307
2023-10,Pop,US,0.2838
2023-11,Pop,US,0.3736
2023-12,Pop,US,0.2737
2024-01,Pop,US,0.1795
2024-02,Pop,US,0.1352
2024-03,Pop,US,0.23
2024-04,Pop,US,0.3903
2024-05,Pop,US,0.4389
2024-06,Pop,US,0.3686
2024-07,Pop,US,0.3694
2024-08,Pop,US,0.5239
2024-09,Pop,US,0.5358
2024-10,Pop,US,0.5965
2024-11,Pop,US,0.6418
2024-12,Pop,US,0.6039
2025-01,Pop,US,0.3894
2025-02,Pop,US,0.4749
2025-03,Pop,US,0.4646
2025-04,Pop,US,0.4502
2025-05,Pop,US,0.2668
2025-06,Pop,US,0.3003
2023-10,R&B,US,0.1053
2023-11,R&B,US,0.1004
2023-12,R&B,US,0.1242
2024-01,R&B,US,0.1024
2024-02,R&B,US,0.1179
2024-03,R&B,US,0.1447
2024-04,R&B,US,0.1236
2024-05,R&B,US,0.0486
2024-06,R&B,US,0.0348
2024-09,R&B,US,0.0021
2024-10,R&B,US,0.0011
2024-11,R&B,US,0.0056
2024-12,R&B,US,0.1159
2025-01,R&B,US,0.0977
2025-02,R&B,US,0.0546
2025-03,R&B,US,0.0012
2025-04,R&B,US,0.0185
2025-05,R&B,US,0.0366
2025-06,R&B,US,0.0375
2023-10,Rock,US,0.0229
2023-11,Rock,US,0.0064
2023-12,Rock,US,0.0611
2024-01,Rock,US,0.0031
2024-07,Rock,US,0.0064
2024-09,Rock,US,0.0149
2024-10,Rock,US,0.0022
2024-11,Rock,US,0.0019
2024-12,Rock,US,0.0628
2025-01,Rock,US,0.0062
2025-03,Rock,US,0.0385
2025-04,Rock,US,0.0701
2025-05,Rock,US,0.1181
2025-06,Rock,US,0.0922
